Date,Open,High,Low,Close,Volume
20241211  11:00:00,606.79,606.8,606.51,606.62,935
20241211  11:05:00,606.62,606.93,606.61,606.8,1428
20241211  11:10:00,606.8,607.01,606.77,607.0,1666
20241211  11:15:00,607.0,607.02,606.84,606.97,1339
20241211  11:20:00,606.99,607.21,606.92,607.21,863
20241211  11:25:00,607.21,607.52,607.2,607.48,3487
20241211  11:30:00,607.48,607.51,607.36,607.46,1786
20241211  11:35:00,607.45,607.79,607.44,607.79,2508
20241211  11:40:00,607.8,607.87,607.58,607.82,1431
20241211  11:45:00,607.82,607.87,607.68,607.75,2077
20241211  11:50:00,607.77,607.8,607.53,607.63,1610
20241211  11:55:00,607.65,607.75,607.5,607.74,986
20241211  12:00:00,607.75,608.1,607.72,608.02,1346
20241211  12:05:00,608.03,608.1,607.89,608.01,1632
20241211  12:10:00,608.01,608.19,607.92,607.98,1987
20241211  12:15:00,607.98,608.07,607.85,607.95,1771
20241211  12:20:00,607.95,607.99,607.81,607.88,1813
20241211  12:25:00,607.9,607.91,607.67,607.72,1802
20241211  12:30:00,607.75,607.84,607.61,607.76,1637
20241211  12:35:00,607.74,607.88,607.62,607.86,1192
20241211  12:40:00,607.87,608.05,607.8,608.05,928
20241211  12:45:00,608.05,608.1,607.96,608.04,1355
20241211  12:50:00,608.03,608.12,607.9,607.97,836
20241211  12:55:00,607.93,608.12,607.88,608.12,1074
20241211  13:00:00,608.13,608.44,608.12,608.26,2008
20241211  13:05:00,608.28,608.29,608.08,608.16,829
20241211  13:10:00,608.18,608.19,607.98,608.09,1238
20241211  13:15:00,608.09,608.15,607.99,608.13,975
20241211  13:20:00,608.13,608.17,608.03,608.13,843
20241211  13:25:00,608.12,608.33,608.08,608.32,877
20241211  13:30:00,608.31,608.4,608.15,608.25,2327
20241211  13:35:00,608.26,608.31,608.21,608.26,808
20241211  13:40:00,608.28,608.29,608.03,608.12,1423
20241211  13:45:00,608.12,608.21,608.1,608.19,1114
20241211  13:50:00,608.19,608.19,607.82,607.9,1549
20241211  13:55:00,607.9,607.91,607.73,607.81,1007
20241211  14:00:00,607.82,607.98,607.73,607.76,2151
20241211  14:05:00,607.77,607.78,607.56,607.75,1970
20241211  14:10:00,607.73,607.94,607.69,607.77,1440
20241211  14:15:00,607.77,607.87,607.76,607.86,847
20241211  14:20:00,607.85,607.94,607.7,607.87,1297
20241211  14:25:00,607.86,607.94,607.8,607.93,1197
20241211  14:30:00,607.92,608.05,607.83,607.98,1354
20241211  14:35:00,607.99,608.17,607.97,608.12,1606
20241211  14:40:00,608.12,608.22,607.96,607.98,1651
20241211  14:45:00,607.99,608.05,607.74,607.8,2134
20241211  14:50:00,607.78,607.92,607.71,607.77,1369
20241211  14:55:00,607.77,608.0,607.73,607.94,1000
20241211  15:00:00,607.95,608.09,607.87,608.02,1096
20241211  15:05:00,608.02,608.04,607.87,607.97,1746
20241211  15:10:00,607.96,608.04,607.88,608.02,1181
20241211  15:15:00,608.02,608.04,607.92,607.97,1595
20241211  15:20:00,607.96,607.96,607.88,607.92,1616
20241211  15:25:00,607.9,608.09,607.86,608.07,1810
20241211  15:30:00,608.07,608.07,607.83,607.89,3321
20241211  15:35:00,607.88,608.04,607.8,608.03,2376
20241211  15:40:00,608.03,608.03,607.77,607.77,2163
20241211  15:45:00,607.78,607.88,607.74,607.84,2686
20241211  15:50:00,607.83,607.88,607.6,607.63,5025
20241211  15:55:00,607.62,607.65,607.31,607.5,12707
20241211  16:00:00,607.5,607.53,607.1,607.18,20378
20241211  16:05:00,607.17,607.24,607.0,607.07,1490
20241211  16:10:00,607.06,607.16,602.8,607.11,1178
20241211  16:15:00,607.11,607.25,607.05,607.08,199
20241211  16:20:00,607.05,607.09,606.97,606.98,666
20241211  16:25:00,607.0,607.1,606.93,607.04,223
20241211  16:30:00,607.06,607.07,607.02,607.07,105
20241211  16:35:00,607.04,607.05,607.01,607.05,108
20241211  16:40:00,607.05,607.05,607.02,607.02,18
20241211  16:45:00,607.04,607.07,606.99,607.02,46
20241211  16:50:00,606.97,607.0,606.94,606.99,251
20241211  16:55:00,606.97,607.03,606.97,607.0,65
20241211  17:00:00,607.04,607.06,607.01,607.04,6
20241211  17:05:00,607.01,607.11,607.01,607.07,4
20241211  17:10:00,607.07,607.07,607.07,607.07,11
20241211  17:15:00,607.07,607.07,607.0,607.0,32
20241211  17:20:00,606.96,606.97,606.95,606.96,122
20241211  17:25:00,607.13,607.13,607.02,607.02,4
20241211  17:30:00,607.01,607.01,607.01,607.01,6
20241211  17:35:00,607.01,607.01,607.0,607.0,29
20241211  17:40:00,607.0,607.01,607.0,607.01,6
20241211  17:45:00,607.01,607.01,606.97,606.97,31
20241211  17:50:00,607.01,607.01,607.01,607.01,12
20241211  17:55:00,607.0,607.07,607.0,607.05,27
20241211  18:00:00,607.02,607.02,606.85,606.91,25
20241211  18:05:00,607.0,607.01,606.94,606.95,74
20241211  18:10:00,606.93,607.09,606.9,607.09,192
20241211  18:15:00,607.0,607.0,606.97,606.99,5
20241211  18:20:00,607.04,607.04,606.88,606.88,22
20241211  18:25:00,606.85,606.87,606.83,606.86,14
20241211  18:30:00,606.95,606.95,606.95,606.95,3
20241211  18:35:00,606.95,606.96,606.91,606.91,43
20241211  18:40:00,606.89,606.89,606.85,606.85,35
20241211  18:45:00,606.92,606.93,606.92,606.92,26
20241211  18:50:00,606.98,606.98,606.9,606.9,4
20241211  18:55:00,606.93,606.93,606.92,606.92,6
20241211  19:00:00,606.94,606.95,606.94,606.95,4
20241211  19:05:00,606.93,606.93,606.92,606.93,5
20241211  19:10:00,606.86,606.91,606.85,606.91,36
20241211  19:15:00,606.9,606.9,606.77,606.79,31
20241211  19:20:00,606.7,606.72,606.65,606.71,116
20241211  19:25:00,606.77,606.77,606.69,606.69,3
20241211  19:30:00,606.69,606.75,606.69,606.71,20
20241211  19:35:00,606.69,606.75,606.67,606.7,103
20241211  19:40:00,606.71,606.71,606.62,606.62,32
20241211  19:45:00,606.64,606.68,606.64,606.65,60
20241211  19:50:00,606.61,606.61,606.5,606.51,125
20241211  19:55:00,606.55,606.76,606.55,606.76,96
20241210  04:00:00,604.5,604.5,604.09,604.15,16
20241210  04:05:00,604.15,604.15,604.15,604.15,0
20241210  04:10:00,604.16,604.16,604.16,604.16,1
20241210  04:15:00,604.16,604.16,604.16,604.16,0
20241210  04:20:00,604.16,604.16,604.16,604.16,0
20241210  04:25:00,604.27,604.27,604.18,604.18,3
20241210  04:30:00,604.18,604.21,604.18,604.21,4
20241210  04:35:00,604.18,604.18,604.03,604.03,4
20241210  04:40:00,604.01,604.01,604.0,604.0,16
20241210  04:45:00,604.02,604.1,604.02,604.1,99
20241210  04:50:00,604.1,604.1,604.1,604.1,0
20241210  04:55:00,604.12,604.14,604.12,604.14,3
20241210  05:00:00,604.14,604.14,604.14,604.14,0
20241210  05:05:00,604.4,604.44,604.4,604.44,4
20241210  05:10:00,604.5,604.64,604.5,604.64,7
20241210  05:15:00,604.58,604.58,604.54,604.58,10
20241210  05:20:00,604.5,604.5,604.5,604.5,2
